Sno,District,Hospital Id,Hospital Name,Hospital Contact,Hospital Type,Specialities
1,CHAMBA,02001018,Pt JLNGMC and Hospital Chamba ,9857785521,Public,"M1, M7, M2, M3, M8, S1, S13, S16, S2, S3, S4, S5, S8, S7, M5, M6, S12, S14, S15, S6, S9"
2,CHAMBA,02001019,Civil Hospital Dalhousie,1899242125,Public,"M1, M7, S1, S3"
3,CHAMBA,02001020,Referral Hospital CHOWARI,9805754440,Public,"M1, S1, S16"
4,CHAMBA,02001021,Civil Hospital Tissa,1896227050,Public,"M1, M7"
5,CHAMBA,02001024,COMMUNITY HEALTH CENTRE Killar,1897242246,Public,"M1, M7"
6,CHAMBA,02001025,COMMUNITY HEALTH CENTRE Kihar,9805971525,Public,"M1, M7"
7,CHAMBA,02001030,Distt  Ayurvedic Hospital Chamba,9459409212,Public,"M1, M7"
8,CHAMBA,02001033,COMMUNITY HEALTH CENTRE BHARMOUR,1895225044,Public,"M1, M7, S1"
9,KANGRA,02002046,Zonal Hospital Dharamsala,7832040370,Public,"M1, M7, S1, BM, ER, MM, MN, MP, SB, SE, SO"
10,KANGRA,02002047,RAJIV GANDHI AYURVEDIC COLLEGE HOSPITAL PAPROLA,9805330593,Public,"M1, M7, M2, S1, S2, S3, S4, SB"
11,KANGRA,02002048,Civil Hospital Nurpur,9418522164,Public,"M1, M7, M2, S1, S16, S2, S4, S3, S5"
12,KANGRA,02002049,Civil Hospital Dehra,8988908009,Public,"S1, S16, S3, S5, M1, M7"
13,KANGRA,02002050,Civil Hospital KANGRA,7018247682,Public,"M1, M7"
14,KANGRA,02002051,Civil Hospital Baijnath,9218842611,Public,S2
15,KANGRA,02002052,Civil Hospital  THURAL,9418676487,Public,"S1, M1, M7"
16,KANGRA,02002053,COMMUNITY HEALTH CENTRE Jawalamukhi,1970222337,Public,"M1, M7"
17,KANGRA,02002055,COMMUNITY HEALTH CENTRE Nagrota Bagwan,9418515610,Public,"M1, M7"
18,KANGRA,02002056,COMMUNITY HEALTH CENTRE Jawali,9816641507,Public,"M1, M7"
19,KANGRA,02002057,COMMUNITY HEALTH CENTRE Shahpur,7018409503,Public,"M1, M7"
20,KANGRA,02002058,COMMUNITY HEALTH CENTRE Fatehpur,9418461239,Public,M2
21,KANGRA,02002059,COMMUNTY HEALTH CENTRE Chadiyar,8988013363,Public,"M1, M7"
22,KANGRA,02002060,COMMUNITY HEALTH CENTRE Dada Siba,9817578000,Public,"M1, M7"
